MARATHI WORD CALLS — ALL DONE

Your 116 calls are in the code. 3340 tests green, zero type errors, lint clean.
Nothing is deployed. Branch feat/labour-v2-r1, commits 61fbc03b + 208f5b90.

  changed ..................... 95   (of your 96)
#94 tap-detail  ✓
   was:  पूर्ण
   now:  आला

#98 tap-detail  ✓
   was:  बंद
   now:  बंद करा

#108 capture-anchored  ✓
   was:  नाही
   now:  आला नाही

#109 capture-anchored  ✓
   was:  आज किती लोक आली?
   now:  आज किती जण होते?

#110 capture-anchored  ✓
   was:  N लोक
   now:  N जण

#111 capture-anchored  ✓
   was:  🎙 "आज ४ लोक कामाला आली" — व्हॉइस लॉगमधून
   now:  🎙 "आज ४ लोक कामाला आली" — तुम्ही बोललात त्यातून

#116 capture-anchored  ✓
   was:  किमान एक नाव आवश्यक. बाकीचे "+ २ जण" म्हणून मोजले जातील. हिरवा ✓ = अ‍ॅप कामगार, राखाडी = फक्त नाव.
   now:  किमान एक नाव द्या. बाकीचे "+ २ जण" असे मोजले जातील.

#117 capture-anchored  ✓
   was:  जतन करा → मंजुरीसाठी
   now:  बरोबर — तपासणीसाठी

#118 capture-already-known  ✓
   was:  ShramSafalला समजलं
   now:  श्रम सफलला समजलं

#124 conflict-headcount  ✓
   was:  आजच्या कामाच्या नोंदीत N जण आहेत.
   now:  आजच्या कामात N जण होते, असं आधी समजलं होतं.

#125 conflict-headcount  ✓
   was:  दोन्ही नोंदी तशाच राहतील.
   now:  दोन्ही गोष्टी तशाच राहतील.

#128 contradiction  ✓
   was:  एकदाच स्पष्ट करा; दोन्ही कामांच्या नोंदी तशाच राहतील.
   now:  एकदाच स्पष्ट करा — दोन्ही कामांचं जे सांगितलं ते तसंच राहील.

#129 contradiction  ✓
   was:  पूर्ण / अर्धा / रात्र
   now:  आला / अर्धा / रात्र

#139 picker  ✓
   was:  ऐच्छिक
   now:  हवं तर

#140 picker  ✓
   was:  कोण काम करत होतं ते इथे नोंदवता येतं. मजुरांची संख्या यानं बदलत नाही.
   now:  कोण काम करत होतं ते इथे सांगता येतं. किती जण होते, ते यानं बदलत नाही.

#142 picker  ✓
   was:  माणसं आणत आहोत…
   now:  नावांची यादी येत आहे…

#146 picker  ✓
   was:  सारखं नाव — वेगळी व्यक्ती
   now:  सारखं नाव — माणूस वेगळा

#151 picker  ✓
   was:  पूर्ण नाव / ओळख — ऐच्छिक
   now:  पूर्ण नाव किंवा ओळख — हवं तर

#158 picker  ✓
   was:  {name} ची नोंद झाली, पण या कामाला लावता आलं नाही — पुन्हा प्रयत्न करा
   now:  {name}चं नाव यादीत आलं, पण या कामाला लावता आलं नाही — पुन्हा प्रयत्न करा

#160 review  ✗ NOT APPLIED — you chose 3-b, तपासणी stays
   was:  तपासणी
   now:  मंजुरी

#164 review  ✓
   was:  रोजच्या नोंदी इथे तुम्ही मंजूर करता — तुमच्या स्वतःच्या असोत वा तुमच्या माणसांच्या.
   now:  रोजच्या नोंदी इथे तुम्ही मंजूर करता — स्वतःच्या किंवा तुमच्या माणसांच्या.

#171 review  ✓
   was:  फार्म बुक अद्ययावत आहे
   now:  सगळ्या नोंदी तपासून झाल्या

#173 review  ✓
   was:  पूर्ववत करा
   now:  मागे घ्या

#181 review  ✓
   was:  N मजूर
   now:  N जण

#182 review  ✓
   was:  मालकाने या नोंदीवर शंका घेतली आहे — कामगाराला विचारायचं आहे.
   now:  या नोंदीवर शंका आहे — एकदा विचारून घ्यायचं आहे.

#186 overview  ✓
   was:  मजूर-दिवस
   now:  एकूण हजेरी

#190 overview  ✓
   was:  तपासायचं
   now:  तपासा

#191 overview  ✓
   was:  कुठे काम झालं · plots
   now:  कुठे काम झालं

#193 overview  ✓
   was:  अधिक नोंदी झाल्यावर इथे उपयोगी माहिती दिसेल.
   now:  आणखी नोंदी झाल्यावर इथे उपयोगी माहिती दिसेल.

#194 overview  ✓
   was:  अजून प्लॉटनिहाय माहिती नाही
   now:  अजून प्लॉटची माहिती नाही

#196 overview  ✓
   was:  पैसे · money
   now:  पैसे

#198 overview  ✓
   was:  काम झालं · एकूण नोंदवलं
   now:  काम झालं — त्याची मजुरी

#203 person-detail  ✓
   was:  काम झालं
   now:  कामाचे पैसे

#207 person-detail  ✓
   was:  द्यायचे / उचल बाकी / जास्त दिलं
   now:  बाकी / उचल बाकी / जास्त दिलं

#208 person-detail  ✓
   was:  ₹N द्यायचे
   now:  ₹N बाकी

#214 person-detail  ✓
   was:  विश्वास · trust
   now:  विश्वास

#215 person-detail  ✓
   was:  {name}च्या नोंदींवर विश्वास ठेवायचा?
   now:  {name} सांगेल त्यावर विश्वास ठेवायचा?

#217 person-detail  ✓
   was:  सध्या याच्या नोंदी तुम्ही तपासता
   now:  सध्या याच्या नोंदी तुमच्याकडे मंजुरीसाठी येतात

#218 person-detail  ✓
   was:  {n} दिवस झाले · २५ दिवस + स्वच्छ रेकॉर्ड नंतर विश्वास देता येईल
   now:  {n} दिवस झाले · २५ दिवस आणि वाद नाही, मग विश्वास देता येईल

#220 person-detail  ✓
   was:  विश्वास {n} — 30 दिवसांत वाद नाही
   now:  30 दिवसांत वाद नाही

#222 person-detail  ✓
   was:  टीम सेटअपमध्ये 'कोण नोंद करू शकतो' ठरतं. इथे 'त्याच्या नोंदींवर विश्वास' ठरतो — या दोन वेगळ्या गोष्टी आहेत.
   now:  'माझा शेत संघ'मध्ये कोणाला नोंद करता येईल ते ठरतं. इथे त्याच्या नोंदींवर विश्वास ठेवायचा का — हे वेगळं.

#225 mukadam-detail  ✓
   was:  {name} नी नेमला
   now:  {name}नी नेमला

#226 mukadam-detail  ✓
   was:  सर्व कारकुनी काम · तुम्ही नेमला
   now:  सगळं काम · तुम्ही नेमला

#227 mukadam-detail  ✓
   was:  सेटल
   now:  पैसे द्या

#229 mukadam-detail  ✓
   was:  याची माणसं · his team
   now:  याच्यासोबत आलेली माणसं

#230 responsibility  ✓
   was:  कामगार · Worker
   now:  कामाला येणारे

#231 responsibility  ✓
   was:  भागीदार · Partner
   now:  भागीदार

#234 responsibility  ✓
   was:  हा सदस्य काय करू शकतो? · What can they do?
   now:  याला काय करता येईल?

#235 responsibility  ✓
   was:  कामगारांची जबाबदारी आहे
   now:  माणसांची जबाबदारी आहे

#246 guide-card  ✓
   was:  कामे सांगण्यासाठी तयार
   now:  कामं सांगायला तयार

#249 guide-card  ✓
   was:  निवडला / निवडले
   now:  निवडला / निवडलेत

#253 saved  ✓
   was:  श्रम साथी ने समजले व लक्षात ठेवले
   now:  श्रम साथीने समजून घेतलं आणि लक्षात ठेवलं

#254 saved  ✓
   was:  श्रम सफल मध्ये साठवून ठेवले
   now:  श्रम सफलमध्ये साठवून ठेवलं

#257 saved  ✓
   was:  {count} दुरुस्त्या शेतनोंदीत गेल्या.
   now:  {count} दुरुस्ती शेतनोंदीत गेली.

#259 hub  ✓
   was:  🎙 आवाज नोंद लॉग स्क्रीनवर होते
   now:  🎙 बोलून नोंद करायची असेल तर कामाच्या पानावर जा.

#261 mukadam-detail  ✓
   was:  सेटल — नमुना
   now:  पैसे द्या — नमुना

#266 day-summary  ✓
   was:  कामगार
   now:  मजुरी

#267 day-summary  ✓
   was:  पुरुष कामगार / महिला कामगार
   now:  पुरुष / महिला

#268 day-summary  ✓
   was:  आज कामगार वापरलेले नाहीत
   now:  आज कोणी कामावर नव्हतं

#270 day-summary  ✓
   was:  कामगार दर
   now:  मजुरीचे दर

#272 day-summary  ✓
   was:  दैनंदिन मजुरी
   now:  रोजची मजुरी

#273 day-summary  ✓
   was:  कामगार पाळ्या
   now:  कामाच्या पाळ्या

#274 manual-entry-labour  ✓
   was:  Total workers: N (a + b)
   now:  एकूण N जण (a + b)

#275 manual-entry-labour  ✓
   was:  N मजूर
   now:  N जण

#276 consent-gate  ✓
   was:  तुमच्या शेताची माहिती तुमच्याच ताब्यात राहते. ॲप चालण्यासाठी फक्त खालील माहिती वापरतो.
   now:  तुमच्या शेताची माहिती तुमच्याच ताब्यात राहते. श्रम सफल चालण्यासाठी फक्त खालची माहिती वापरली जाते.

#278 consent-gate  ✓
   was:  फोन, ॲप, सिंक आणि सुरक्षेची मर्यादित माहिती
   now:  फोन, वापर, माहिती पाठवणं आणि सुरक्षा — यांची मर्यादित माहिती

==============================================================================
YOUR OWN WORDS (2)
==============================================================================

#15 processing  ✓
   was:  Listening carefully to your log...
   now:  श्रम साथी तुम्ही जे बोललात ते समजून घेत आहे

#277 consent gate  ✓ rewritten, not deleted (your answer 2-b)
   was:  श्रम सफल हे Agriryot Value Enterprises Private Limited चं ॲप आहे; ते AgriSync प्लॅटफॉर्मवर चालतं.
   now:  श्रम सफल — Agriryot Value Enterprises Private Limited यांची सेवा. ती AgriSync वर चालते.
   note: your 2-b line dropped the AgriSync name. A test guards that the
         consent screen names all three — ShramSafal, Agriryot, AgriSync —
         so the sentence keeps it. Still no banned word.

==============================================================================
KEPT AS THEY ARE (18) — untouched
==============================================================================

#17  processing-character — तुम्ही शेतात केलेली कामे आणि तुमची शेती करण्याची कार्यपद्धत समजून घेत आहे
#22  processing-character — आज तुम्ही फक्त पीक घेत नाही — स्वतःचं आणि तुमच्या शेतजमिनीच्या ज्ञानाचा पाया रोवत आहात.
#26  processing-character — नोंदवलेलं शहाणपण पुढच्या पिढीला कामी येतं; विसरलेली चूक पुन्हा तीच चूक करायला भाग पाडते.
#28  processing-character — आकड्यांवर चालणारी शेती, हीच खऱ्या अर्थाने तुमच्या हातातली शेती.
#29  processing-character — इतिहास त्यांनाच मार्ग दाखवतो जे तो लिहितात — आज तुम्ही तुमचा लिहिताय.
#31  processing-character — आज तुम्ही फक्त शेतकरी नाही — स्वतःची शेती पुढे नेणारे प्रगतशील आणि नियोजनबद्ध शेतकरी आहात.
#58  hub — टीमची हजेरी, मजुरी व नोंदींची तपासणी — सगळं एका जागी.
#69  hub — तात्पुरता
#71  hub — टीम N
#75  chrome — माहिती आणत आहोत…
#112  capture-anchored — शिफ्ट · shift
#166  review — चुका आधीच पकडल्या जातात व हिशोब बरोबर राहतो. ज्याच्यावर विश्वास दिला, त्याच्या नोंदी इथे येत नाहीत — आपोआप मंजूर.
#201  overview — सर्व दिवसांची हजेरी पहा
#202  person-detail — कामगार
#241  responsibility — टीममधून काढा · Remove
#243  guide-card — आज कोणत्या प्लॉटवर कोणी काम केलं, त्यांची हजेरी घ्या किंवा ओळख पटवून द्या.
#244  guide-card — तुमच्या शेतातले रोजचे कामगार असू शकतात, किंवा मुकादमाकडून आलेले सुद्धा असू शकतात.
#248  guide-card — प्लॉट

==============================================================================
THE SAME WORDS, SWEPT APP-WIDE (21) — your answer 1-a
==============================================================================

These were never in the audit. They are login, invite QR, referrals, growth
ledger, role badges, saved-log chip. Each follows a decision you made:

S1  savedView.tsx
     was:  मजूर
     now:  जण
     from: #57 मजूर→जण

S2  LabourDataPoints.tsx
     was:  label={`${toMr(entry.count)} मजूर`}
     now:  label={`${toMr(entry.count)} जण`}
     from: #57 मजूर→जण

S3  ExecutionStatusSelector.tsx
     was:  मजूर नव्हते
     now:  माणसं मिळाली नाहीत
     from: #57 मजूर→जण

S4  consentNotice.ts
     was:  शेत, प्लॉट, पीक, कामं, मजूर, खर्च, उत्पन्न, टीम
     now:  शेत, प्लॉट, पीक, कामं, हजेरी, खर्च, उत्पन्न, टीम
     from: #57 मजूर→जण

S5  GrowthLedgerList.tsx
     was:  कामगार सक्रिय
     now:  कामावर आला
     from: #230 कामगार→कामाला येणारे

S6  FarmContextSwitcher.tsx
     was:  Worker
     now:  Worker
     from: #230 कामगार→कामाला येणारे

S7  FarmContextSwitcher.tsx
     was:  Mukadam
     now:  Mukadam
     from: #66 मुकादम→जबाबदार

S8  FirstFarmWizard.tsx
     was:  कामगारांशी शेअर करण्यासाठी तयार
     now:  कामाला येणाऱ्यांना दाखवण्यासाठी तयार
     from: #230 कामगार→कामाला येणारे

S9  FarmInviteQrSheet.tsx
     was:  तुमच्या कामगारांना ही QR दाखवा
     now:  कामाला येणाऱ्यांना ही QR दाखवा
     from: #230 कामगार→कामाला येणारे

S10 FarmInviteQrSheet.tsx
     was:  तुमच्या कामगाराने ही QR स्कॅन केल्यावर त्यांना त्यांचा फोन नंबर आणि OTP द्यावा लागेल.
     now:  समोरच्याने ही QR स्कॅन केल्यावर त्याला त्याचा फोन नंबर आणि OTP द्यावा लागेल.
     from: #64 समोरच्याला

S11 IdentitySection.tsx
     was:  कामगारांना जोडा · Add your workers
     now:  कामाला येणाऱ्यांना जोडा · Add your workers
     from: #230 कामगार→कामाला येणारे

S12 AssignWorkerSheet.tsx
     was:  कामगार नेमणूक
     now:  कामाची नेमणूक
     from: #230 कामगार→कामाला येणारे

S13 AssignWorkerSheet.tsx
     was:  कोणतेही कामगार उपलब्ध नाहीत
     now:  अजून कोणाचंही नाव जोडलेलं नाही
     from: #63 verbatim

S14 JoinFarmLandingPage.tsx
     was:  कामगार
     now:  कामाला येणारे
     from: #230 कामगार→कामाला येणारे

S15 JoinFarmLandingPage.tsx
     was:  मुकादम
     now:  जबाबदार
     from: #66 मुकादम→जबाबदार

S16 LoginPage.tsx
     was:  कामगार आहे?
     now:  कामाला येता?
     from: #230 कामगार→कामाला येणारे

S17 LoginPage.tsx
     was:  मी कामगार आहे · I am a worker
     now:  मी कामाला येतो · I am a worker
     from: #230 कामगार→कामाला येणारे

S18 ReferralsPage.tsx
     was:  रेफरल योग्य ठरल्यावर आणि कामगार ३० दिवस सक्रिय राहिल्यावर फायदे दिले जातील.
     now:  रेफरल योग्य ठरल्यावर आणि तो ३० दिवस कामावर राहिल्यावर फायदे दिले जातील.
     from: #230 कामगार→कामाला येणारे

S19 OperatorSessionChip.tsx
     was:  कामगार
     now:  कामाला येणारे
     from: #230 कामगार→कामाला येणारे

S20 roleLabels.ts
     was:  कामगार
     now:  कामाला येणारे
     from: #230 कामगार→कामाला येणारे

S21 roleLabels.ts
     was:  मुकादम
     now:  जबाबदार
     from: #66 मुकादम→जबाबदार

==============================================================================
TWO THINGS I CHANGED THAT YOU DID NOT LIST
==============================================================================

1. PersonDetail.tsx — "काम झालं ₹2,000 − दिलं ₹500" also said काम झालं.
   Your #203 renamed that label to कामाचे पैसे, so this sentence now reads
   "कामाचे पैसे ₹2,000 − दिलं ₹500". Without it the same figure had two names.

2. The corrections message had no singular. Your #257 supplied one, so
   1 correction now reads "1 दुरुस्ती शेतनोंदीत गेली." and 2+ keep
   "N दुरुस्त्या शेतनोंदीत गेल्या." A test previously asserted Marathi had
   only ONE form "because no singular was approved" — you approved one.
